company,segment,city,revenue_band,website,decision_maker,role,contact_channel,contact_value,source,hook,tariff_hypo,priority,status,notes
"1С БухОбслуживание Смартком, аудиторско-бухгалтерская компания",Бухгалтерия/юристы,Москва,"15-100млн (гипотеза, проверить)",smartcom.ru.com,—,Собственник/директор (уточнить),Телефон,+74951491509,"2ГИС, рубрика «Бухгалтерские услуги», г.Москва",Утечка данных клиентов = потеря всех клиентов разом + штраф оператора ПДн,Bronze,A,Новая,"адрес: улица Маршала Рыбалко, 2 к9; доп.тел: +79031779775; email: bo@smartcom.ru.com; проверить выручку в Rusprofile/ЕГРЮЛ перед звонком; сверить с реестром операторов ПДн РКН"
"Бюбаланс, бухгалтерская фирма",Бухгалтерия/юристы,Москва,"15-100млн (гипотеза, проверить)",byubalans.ru,—,Собственник/директор (уточнить),Телефон,+79917777780,"2ГИС, рубрика «Бухгалтерские услуги», г.Москва",Утечка данных клиентов = потеря всех клиентов разом + штраф оператора ПДн,Bronze,A,Новая,"адрес: Красная улица, 4; доп.тел: +74952950151; email: mskmsk2019@mail.ru, info@byubalans.ru; проверить выручку в Rusprofile/ЕГРЮЛ перед звонком; сверить с реестром операторов ПДн РКН"
Бухгалтерская компания,Бухгалтерия/юристы,Москва,"15-100млн (гипотеза, проверить)",turritopsisn.ru,—,Собственник/директор (уточнить),Телефон,+79263315222,"2ГИС, рубрика «Бухгалтерские услуги», г.Москва",Утечка данных клиентов = потеря всех клиентов разом + штраф оператора ПДн,Bronze,A,Новая,"адрес: Варшавское шоссе, 46; доп.тел: +79154812440; email: turritopsisn@mail.ru, info-buh1@mail.ru; проверить выручку в Rusprofile/ЕГРЮЛ перед звонком; сверить с реестром операторов ПДн РКН"
"Диалог, бухгалтерская компания",Бухгалтерия/юристы,Москва,"15-100млн (гипотеза, проверить)",dialog-mo.ru,—,Собственник/директор (уточнить),Телефон,+79636835533,"2ГИС, рубрика «Бухгалтерские услуги», г.Москва",Утечка данных клиентов = потеря всех клиентов разом + штраф оператора ПДн,Bronze,A,Новая,"адрес: набережная Серафима Саровского, 2; доп.тел: +74962585100; email: info@dialog-mo.ru; проверить выручку в Rusprofile/ЕГРЮЛ перед звонком; сверить с реестром операторов ПДн РКН"
"Артус, компания бухгалтерских и правовых услуг",Бухгалтерия/юристы,Москва,"15-100млн (гипотеза, проверить)",бухгалтер-аутсорс.рф,—,Собственник/директор (уточнить),Телефон,+74993481917,"2ГИС, рубрика «Бухгалтерские услуги», г.Москва",Утечка данных клиентов = потеря всех клиентов разом + штраф оператора ПДн,Bronze,A,Новая,"адрес: Транспортная улица, 2; филиалов: 2; доп.тел: +79250812482; email: 79250812482@yandex.ru; проверить выручку в Rusprofile/ЕГРЮЛ перед звонком; сверить с реестром операторов ПДн РКН"
"Любер-штамп, бухгалтерско-юридическая компания",Бухгалтерия/юристы,Москва,"15-100млн (гипотеза, проверить)",luber-stamp.ru,—,Собственник/директор (уточнить),Телефон,+74959780002,"2ГИС, рубрика «Бухгалтерские услуги», г.Москва",Утечка данных клиентов = потеря всех клиентов разом + штраф оператора ПДн,Bronze,A,Новая,"адрес: Котельническая улица, 8а; email: zakaz@luber-stamp.ru; проверить выручку в Rusprofile/ЕГРЮЛ перед звонком; сверить с реестром операторов ПДн РКН"
"Консалта, юридическая компания",Бухгалтерия/юристы,Москва,"15-100млн (гипотеза, проверить)",konsalta.com,—,Собственник/директор (уточнить),Телефон,+74994440430,"2ГИС, рубрика «Бухгалтерские услуги», г.Москва",Утечка данных клиентов = потеря всех клиентов разом + штраф оператора ПДн,Bronze,A,Новая,"адрес: Лялин переулок, 5 ст3; email: info@konsalta.com; проверить выручку в Rusprofile/ЕГРЮЛ перед звонком; сверить с реестром операторов ПДн РКН"
Buhgalter.Tech,Бухгалтерия/юристы,Москва,"15-100млн (гипотеза, проверить)",buhgalter.tech,—,Собственник/директор (уточнить),Телефон,+79639639666,"2ГИС, рубрика «Бухгалтерские услуги», г.Москва",Утечка данных клиентов = потеря всех клиентов разом + штраф оператора ПДн,Bronze,A,Новая,"адрес: Мартеновская улица, 4; email: info@buhgalter.tech; проверить выручку в Rusprofile/ЕГРЮЛ перед звонком; сверить с реестром операторов ПДн РКН"
"Илатан, сеть семейных стоматологических клиник",Клиники/медицина,Москва,"15-100млн (гипотеза, проверить)",stomatologia-ilatan.ru,—,Собственник/директор (уточнить),Телефон,+74957485050,"2ГИС, рубрика «Частные стоматологии», г.Москва",Утечка медкарт = штраф до 15 млн ₽ + риск лицензии. Закроем 152-ФЗ под ключ,Silver,A,Новая,"адрес: Марксистский переулок, 3; филиалов: 3; email: info@stomatologia-ilatan.ru; проверить выручку в Rusprofile/ЕГРЮЛ перед звонком; сверить с реестром операторов ПДн РКН"
"Белгравия Дентал, сеть премиальных стоматологий",Клиники/медицина,Москва,"15-100млн (гипотеза, проверить)",belgraviadent.ru,—,Собственник/директор (уточнить),Телефон,+74951833410,"2ГИС, рубрика «Частные стоматологии», г.Москва",Утечка медкарт = штраф до 15 млн ₽ + риск лицензии. Закроем 152-ФЗ под ключ,Silver,A,Новая,"адрес: проспект Мира, 36 ст1; филиалов: 6; email: info@dentalfantasy.ru, mira@dentalfantasy.ru; проверить выручку в Rusprofile/ЕГРЮЛ перед звонком; сверить с реестром операторов ПДн РКН"
